Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	max_abs_r	module_type	selected
ME_M1904	-0.04311405475670715	0.47482631469020364	0.08081398503071985	0.17987983580729858	-0.11512764890170925	0.05564450630448713	0.11512764890170925	CT	True
ME_M1861	-0.03314255295990621	0.5828280124296151	0.11431045580672902	0.05741542234461598	-0.08529165214150528	0.156864015679089	0.11431045580672902	CT	True
ME_M1564	-0.042631157733253607	0.4797922706701286	0.040916390135476974	0.4976518117542231	-0.11407325082764697	0.057938105117892276	0.11407325082764697	CT	True
ME_M1304	0.11393424389565146	0.05824623127823479	-0.06718471169829407	0.26511638153647965	0.09717408833603972	0.10656927682197037	0.11393424389565146	CT	True
ME_M936	-0.11316428107625878	0.05997756339751026	0.08809156130111878	0.14364527648937098	-0.04356832640538377	0.4701804696316302	0.11316428107625878	TS	True
ME_M1158	-0.0649454806870009	0.28140973012808307	0.06504514543182315	0.28067047255862027	-0.11059585464470117	0.06606233512969747	0.11059585464470117	TS	True
ME_M1650	0.10808334576982956	0.07249521086937273	-0.07153258145628666	0.2353552378377307	0.042844479128253087	0.4775950760219848	0.10808334576982956	CT	True
ME_M1547	-0.05021690309508535	0.40511446586846345	0.1073000778663332	0.07460188241234596	0.05697278231630115	0.3448142209710496	0.1073000778663332	CT	True
ME_M736	-0.09046569763635938	0.1331172725753191	0.08163691775440544	0.17547255579737342	-0.1062750906135557	0.07743352734251327	0.1062750906135557	CT	True
ME_M70	0.0570941730002886	0.3437856086460238	-0.10614521970940355	0.07779844586942171	0.041045948478242875	0.4962902634232539	0.10614521970940355	CT	False
ME_M1269	0.10589778976684296	0.07849754259981591	-0.037319602690493475	0.5362268474787828	0.05541624669436809	0.35817627463647617	0.10589778976684296	TS	False
ME_M1533	-0.08272754306472833	0.16975574833543633	0.07897278104037952	0.19003586953518875	-0.10530254638663428	0.08020020360526006	0.10530254638663428	CT	False
ME_M1907	0.026601729870312098	0.6593455166424416	0.021368884650787373	0.723277955475583	-0.10333368992936054	0.08604560322931629	0.10333368992936054	CT	False
ME_M1563	0.013453624878789233	0.8236051712940289	0.01526575096192796	0.8003157011508533	-0.10325842029910956	0.0862756932704654	0.10325842029910956	CT	False
ME_M1634	-0.09275978854001737	0.12351850152625855	0.10232737445388185	0.0891628502632853	-0.06516579536297226	0.279777314952763	0.10232737445388185	CT	False
ME_M1996	-0.10222396962168535	0.08948822710251232	0.005294390554840905	0.930100518584689	-0.07045143947962415	0.24252610718474513	0.10222396962168535	CT	False
ME_M1901	0.01126659660585417	0.8519181864315487	0.10196745422373084	0.09029949266902584	-0.050096298181600024	0.40624492764113024	0.10196745422373084	CT	False
ME_M1396	0.10082905770790586	0.09397109785487315	-0.10164677451664182	0.09132195309793979	0.029794829414885614	0.6214813206095258	0.10164677451664182	TS	False
ME_M228	-0.0996419929011526	0.09792547745165647	0.0772099161911632	0.20014751831146269	-0.022777782684497844	0.7058521883466817	0.0996419929011526	TS	False
ME_M1639	0.048336014212276644	0.42295668797205477	-0.09844742006034529	0.10203721272257514	0.06930588385170865	0.25028945714407463	0.09844742006034529	CT	False
ME_M1653	-0.09787518176785587	0.10405469184930861	0.018524448532745125	0.7588887149116957	-0.047709913687795286	0.42899593026125854	0.09787518176785587	CT	False
ME_M1630	0.012527264781849515	0.8355721011432732	-0.0977318306559934	0.10456499411332552	0.028962107083018843	0.6312654417262992	0.0977318306559934	CT	False
ME_M61	0.05883540337814193	0.32924604789995365	0.010588613217628837	0.8607357603702884	0.09716362719048119	0.10660715693637264	0.09716362719048119	CT	False
ME_M1267	-0.09542624383734397	0.11304689639092079	0.03711540897652024	0.5384608517275412	-0.02103877788490895	0.7273819482131381	0.09542624383734397	TS	False
ME_M1982	-0.09407676743537799	0.1182560726799589	0.05160579179275601	0.39223131981003073	-0.08139800310427184	0.17674374638116455	0.09407676743537799	CT	False
ME_M1014	0.020729441429050706	0.7312347918633536	-0.013339561131752435	0.8250765318006567	0.09405833695482109	0.11832849156659996	0.09405833695482109	TS	False
ME_M1567	-0.09322457673256451	0.12164090667415894	-0.0043001498128641975	0.943202410048483	-0.08110145442080142	0.17833106672373011	0.09322457673256451	CT	False
ME_M1600	0.04796512810224235	0.4265281843737621	-0.09226366688709586	0.12554741962206648	0.08061435061170094	0.18096121969238047	0.09226366688709586	CT	False
ME_M1905	0.010578249724772254	0.8608706806855237	-0.035407462351540187	0.5573267271848794	0.09057145562212682	0.13266249734653304	0.09057145562212682	CT	False
ME_M66	0.08190989342290951	0.17402845434916905	-0.07527039276306918	0.21171760562443181	0.0897410488237006	0.13626572166273335	0.0897410488237006	CT	False
ME_M60	0.03970593438345674	0.5104676426599958	-0.08870145620775996	0.140881966832309	-0.049008401062977505	0.41652644762023444	0.08870145620775996	CT	False
ME_M1012	0.020728362451710475	0.7312482425998287	0.08796641251966637	0.14421737802207998	-0.07571036259691852	0.20905174631673573	0.08796641251966637	TS	False
ME_M1580	-0.08676634987187598	0.1497918152605101	0.05281725883852584	0.3811982203558509	-0.08270853415259757	0.16985418494268223	0.08676634987187598	CT	False
ME_M917	0.04404743799850401	0.46530776520588885	-0.08506536140805024	0.15797115745814563	0.07435764530181554	0.21732585529145843	0.08506536140805024	CT	False
ME_M1205	0.03219597523665638	0.5936438773857201	-0.08484510713019941	0.15905440842858073	-0.006483330011532958	0.914457931217386	0.08484510713019941	CT	False
ME_M2394	0.009927602071627399	0.8693492644902353	-0.041143726733528604	0.49526400676492455	0.08339629996453844	0.1663196413668777	0.08339629996453844	TS	False
ME_M1604	-0.08293791182565377	0.16866920391494586	0.04169967125876298	0.4894504389466398	0.010150480807237721	0.866443200365506	0.08293791182565377	CT	False
ME_M1179	0.08255809702079561	0.17063471692621596	-0.06044757761817249	0.3161428398755127	0.0039281180905227295	0.9481090871677029	0.08255809702079561	CT	False
ME_M1139	0.08216671367155956	0.1726778964402694	-0.054180375306710105	0.3690131191410962	-0.017910251206032103	0.766648341036287	0.08216671367155956	CT	False
ME_M1579	-0.07909886390020124	0.18932727677555417	0.010995321629673718	0.855444132677828	-0.020968620908867586	0.7282551697661077	0.07909886390020124	CT	False
ME_M590	0.0031576976340758414	0.9582760764509867	-0.07909121160805097	0.18937022780320462	0.04645750105761785	0.4412249325576567	0.07909121160805097	CT	False
ME_M1726	0.058885451800462923	0.328834080626222	0.01591350648844502	0.7920322457303143	0.07908065344337106	0.18942950072930634	0.07908065344337106	CT	False
ME_M1632	0.07036802745328481	0.24308563417147214	0.07694368198729572	0.20170795335308858	-0.019717688809804457	0.743883055403714	0.07694368198729572	CT	False
ME_M796	0.02127332227143293	0.7244652098463261	-0.05951222164316123	0.32370306162125284	0.07682839310714443	0.20238640760244686	0.07682839310714443	CT	False
ME_M1831	-0.015190238033609776	0.8012828302782048	-0.06944168807928337	0.24936020787391525	0.07660850580900327	0.20368498692165193	0.07660850580900327	CT	False
ME_M1175	0.0753047685427888	0.211508440450863	-0.05547081220397701	0.35770244781432003	0.03887150808088575	0.5194011132567998	0.0753047685427888	TS	False
ME_M36	-0.03617221728683129	0.5488398231957488	-0.002692784743584399	0.9644147543353594	0.0751513649226575	0.21244299905181013	0.0751513649226575	CT	False
ME_M1603	0.0677380420807328	0.26119183257919015	-0.017845262959592545	0.767470765944455	0.044320149768868014	0.462546723355578	0.0677380420807328	CT	False
ME_M417	-0.0666228525290439	0.26914257137404624	0.06755206657417209	0.26250639979378143	0.04069578083338968	0.4999747716838093	0.06755206657417209	CT	False
ME_M1209	0.05166019423747367	0.39173177170804113	0.01081151075703489	0.8578348850640899	-0.06753614208799069	0.2626191728050822	0.06753614208799069	CT	False
ME_M935	0.0035189596154175697	0.9535076778323497	-0.05345853222065562	0.37543548003373023	0.06690854333318125	0.2670901719606775	0.06690854333318125	CT	False
ME_M1581	-0.06531428602948763	0.2786806955642731	0.005730029659534078	0.9243654809980383	-0.012491617630425209	0.8360333751801199	0.06531428602948763	TS	False
ME_M1541	-0.06349138332682008	0.2923448813221845	-0.002950253579773597	0.9610148711038451	0.028559825309467227	0.6360153370338063	0.06349138332682008	CT	False
ME_M1180	0.042111539012396594	0.48516717413011584	-0.01750152105102952	0.7718251250585016	-0.06127344908059303	0.3095641602157221	0.06127344908059303	CT	False
ME_M57	0.0370718270342377	0.538938265388595	-0.038836743604400106	0.5197750397334049	-0.06115939795512326	0.3104672699521799	0.06115939795512326	CT	False
ME_M1730	0.004565651556223637	0.9397020420573526	-0.060855151938286715	0.31288488380517376	0.02998171762730508	0.6192944993483291	0.060855151938286715	CT	False
ME_M933	-0.05986832318561896	0.3208110929014976	0.03985681807879812	0.5088608360676977	-0.00904944774764569	0.8808160389927447	0.05986832318561896	TS	False
ME_M1210	-0.0026826818060145807	0.964548177433622	0.0582250830173814	0.33429656417705245	-0.04913575624942339	0.4153150050198494	0.0582250830173814	CT	False
ME_M1671	0.027679314516980198	0.6464637536008734	-0.05738392662867803	0.34133824750047775	0.026201941641258338	0.6641506360077297	0.05738392662867803	CT	False
ME_M190	0.026839685874282343	0.656492092254015	-0.05602392555246692	0.3529215841787579	0.03517136571430543	0.5599595995102926	0.05602392555246692	TS	False
ME_M1806	0.05578216096116674	0.35500632230608814	-0.009305584218123109	0.8774687791728935	-0.0555668553398254	0.3568693981908976	0.05578216096116674	CT	False
ME_M1181	0.0548152218889178	0.3634213109056021	-0.030324739884680887	0.6152894353854403	-0.020913679108583202	0.7289392579345797	0.0548152218889178	CT	False
ME_M1591	-0.05366154072609113	0.37362237584997837	-0.008265440430185511	0.8910745744921785	0.01450837994631049	0.8100292511106936	0.05366154072609113	CT	False
ME_M1144	0.05318097396001327	0.3779231308985056	-0.05246832449698096	0.3843564469427484	0.011801513131578976	0.8449741932744163	0.05318097396001327	TS	False
ME_M1307	-0.05318028439335534	0.37792932377564903	0.003534435982166236	0.9533034366633785	-0.015320271219170206	0.799617624042336	0.05318028439335534	CT	False
ME_M661	0.03467990598485472	0.5654593550951976	-0.03008524258918677	0.6180845692606519	0.05124210433954697	0.39558072401864874	0.05124210433954697	CT	False
ME_M1309	0.01076448216848953	0.8584467758754002	-0.03532589917761387	0.5582356149019521	0.051008783593825754	0.3977385288936575	0.051008783593825754	CT	False
ME_M1402	0.04379562227873775	0.4678653169684308	-0.05004906760371871	0.4066881422110062	-0.005014416736519985	0.933788202045403	0.05004906760371871	CT	False
ME_M934	0.04970737995565857	0.409903097671666	-0.033975315929552385	0.5733889167148244	0.0243824920770897	0.6861902507819339	0.04970737995565857	CT	False
ME_M1590	-0.025035818976274982	0.6782444871886829	-0.047024538276245	0.43566374114202394	-0.041755315825726225	0.4888705765663125	0.047024538276245	CT	False
ME_M1598	0.042135177060721646	0.4849219616499357	0.04461724768898173	0.4595491594898377	-0.021150751153428817	0.7259889821356801	0.04461724768898173	CT	False
ME_M589	0.011737095847876779	0.8458098001213652	-0.04452603279477957	0.4604683178212628	0.013507818794515087	0.8229063148545118	0.04452603279477957	CT	False
ME_M32	0.040819792871644195	0.49866825260422604	-0.015052846573448533	0.8030432425911668	0.013816241941577448	0.8189317262564665	0.040819792871644195	CT	False
ME_M1535	-0.03956239596701226	0.5119986722739368	0.004022728234240713	0.9468610935410312	-0.04004849613964269	0.5068234057040892	0.04004849613964269	CT	False
ME_M541	0.01022254216879908	0.8655039910287483	-0.03504831179851796	0.5613342298646561	-0.015817203107369268	0.7932623150050101	0.03504831179851796	CT	False
ME_M1757	-0.016144923797917897	0.7890784954571242	0.03443900876179862	0.5681645466412494	0.004998952799967947	0.9339919276615989	0.03443900876179862	CT	False
ME_M1211	0.010616107651423512	0.8603778352362258	0.009628855198805911	0.8732473033624183	-0.032413168725529164	0.5911540975944384	0.032413168725529164	CT	False
ME_M1203	0.019062700604010933	0.7521083309776604	0.014950838139766352	0.8043509319189923	0.030825689102233385	0.6094608951791234	0.030825689102233385	CT	False
ME_M520	-0.027201549995162715	0.6521623826001814	-0.030152526375276482	0.617298753341863	-0.02753618381732939	0.6481688293449572	0.030152526375276482	CT	False
ME_M263	0.016010847995916497	0.7907894396363055	-0.023712588186873596	0.6943735970996082	-0.00024246581423496838	0.9967947570799526	0.023712588186873596	CT	False
ME_M374	-0.005749456579806231	0.9241098211528636	0.0069332254637310825	0.9085470199643915	-0.016986484099383893	0.7783627283134184	0.016986484099383893	CT	False
ME_M584	0.009801484336602342	0.8709944648465069	0.014667358025244503	0.8079878328702969	0.00835770897033307	0.8898662883826868	0.014667358025244503	CT	False
ME_M1312	-0.0051295673489729875	0.932271316724172	0.0009172304211932502	0.9878752324307913	0.010258527123522012	0.8650350529591188	0.010258527123522012	CT	False
