cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	VH	SMA	QUAD	frac_VH	frac_SMA	frac_QUAD	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
3594	5	QUAD;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	0	0.0	0	0.0	4	0.8	4	0.8	5	FAHD2A(enzyme;Alzheimer_evidence);FAU(Alzheimer_evidence);HOOK2(Alzheimer_evidence);RPL13A(Alzheimer_evidence)	855
3644	4	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	MTMR14(enzyme;Alzheimer_evidence);EMD(Alzheimer_evidence);DMWD(Alzheimer_evidence);RPL37(Alzheimer_evidence)	856
3659	5	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	1	0.2	0	0.0	3	0.6	4	0.8	5	UBE2I(enzyme;Alzheimer_evidence);LINC00320(Alzheimer_evidence);EPB41L4B(Alzheimer_evidence);TADA2B(transcription_factor)	857
3688	6	QUAD													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.1666666666666666	0	0.0	1	0.1666666666666666	0	0.0	3	0.5	4	0.6666666666666666	5	PTOV1(Alzheimer_evidence);TRAPPC9(Alzheimer_evidence);HSF4(transcription_factor;Alzheimer_evidence);ENGASE(enzyme)	858
3705	6	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.1666666666666666	0	0.0	4	0.6666666666666666	4	0.6666666666666666	5	SREBF1(transcription_factor;Alzheimer_evidence);PLEC(Alzheimer_evidence);PPL(Alzheimer_evidence);SUN1(Alzheimer_evidence)	859
3734	4	QUAD													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	TMEM63A(Alzheimer_evidence);DBNL(Alzheimer_evidence);DNAH1(Alzheimer_evidence);MAN1B1(enzyme;Alzheimer_evidence)	860
95	3	QUAD;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	1	0.3333333333333333	3	1.0	3	1.0	5	LNPEP(enzyme;known_drug_target;Alzheimer_evidence);TIGD1(Alzheimer_evidence);HHAT(Alzheimer_evidence)	861
293	3	SMA;VH													0	0.0	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	3	1.0	3	1.0	5	SLC6A6(transporter;known_drug_target;Alzheimer_evidence);HNRNPDL(Alzheimer_evidence);LUC7L(Alzheimer_evidence)	862
428	3	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	1	0.3333333333333333	3	1.0	3	1.0	5	TMEM97(known_drug_target;Alzheimer_evidence);IFI44L(Alzheimer_evidence);NFS1(enzyme;Alzheimer_evidence)	863
431	3	SMA;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	1	0.3333333333333333	3	1.0	3	1.0	5	AIF1(Alzheimer_evidence);CPVL(enzyme;known_drug_target;Alzheimer_evidence);APBB1IP(Alzheimer_evidence)	864
