gene_symbol	ensembl_id	ensembl_gene_id_base	tissue	source_module	phenotype	edge_frequency	run_type	hgnc_symbol	hgnc_name	protein_name	target_categories	therapeutic_target_score	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence
ARHGAP35	ENSG00000160007.18	ENSG00000160007	MFBA9BA46	M745	cogn_global	0.202	per_module	ARHGAP35	Rho GTPase activating protein 35		Alzheimer_evidence	1	0.0368603978612456	gwas_credible_sets:0.05972065936099;europepmc:0.01823792392834863	False	False	False	False	False	False	False	False	False	True
JMJD4	ENSG00000081692.12	ENSG00000081692	MFBA9BA46	cross_cogn_global	cogn_global	0.184	cross_module	JMJD4	jumonji domain containing 4			0	0.0		False	False	False	False	False	False	False	False	False	False
TSPAN17	ENSG00000048140.17	ENSG00000048140	MFBA9BA46	cross_cogn_global	cogn_global	0.183	cross_module	TSPAN17	tetraspanin 17			0	0.0		False	False	False	False	False	False	False	False	False	False
FGFR3	ENSG00000068078.17	ENSG00000068078	AC	M937	cogn_global	0.169	per_module	FGFR3	fibroblast growth factor receptor 3		kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence	5	0.3587599808568034	clinical_precedence:0.5454490211904267;europepmc:0.8702077313159343;expression_atlas:0.05280835477883369	True	False	False	False	False	True	True	False	True	True
BMPR1B	ENSG00000138696.10	ENSG00000138696	AC	M119	cogn_global	0.167	per_module	BMPR1B	bone morphogenetic protein receptor type 1B		receptor;known_drug_target;Alzheimer_evidence	3	0.2706632268246642	crispr_screen:0.4400841063415635;expression_atlas:0.10272698973329344	False	False	False	False	False	False	True	False	True	True
VPS39	ENSG00000166887.15	ENSG00000166887	AC	M954	cogn_global	0.163	per_module	VPS39	VPS39 subunit of HOPS complex		Alzheimer_evidence	1	0.0037151544402165	expression_atlas:0.03055573475478074	False	False	False	False	False	False	False	False	False	True
CHASERR	ENSG00000272888.5	ENSG00000272888	PCGBA23	M954	cogn_global	0.148	per_module	CHASERR	CHD2 adjacent suppressive regulatory RNA		Alzheimer_evidence	1	0.0014783194187388	europepmc:0.012158615952232422	False	False	False	False	False	False	False	False	False	True
GDF11	ENSG00000135414.9	ENSG00000135414	MFBA9BA46	M745	cogn_global	0.143	per_module	GDF11	growth differentiation factor 11		known_drug_target;Alzheimer_evidence	2	0.0349244429815456	europepmc:0.28724028391679923	False	False	False	False	False	False	False	False	True	True
APCDD1	ENSG00000154856.12	ENSG00000154856	AC	M937	cogn_global	0.142	per_module	APCDD1	APC down-regulated 1		Alzheimer_evidence	1	0.0114569754952257	europepmc:0.09422927362980127	False	False	False	False	False	False	False	False	False	True
RETSAT	ENSG00000042445.13	ENSG00000042445	MFBA9BA46	M937	cogn_global	0.141	per_module	RETSAT	retinol saturase		kinase;enzyme	2	0.0		True	False	False	False	False	True	False	False	False	False
HIVEP3	ENSG00000127124.14	ENSG00000127124	MFBA9BA46	cross_cogn_global	cogn_global	0.141	cross_module	HIVEP3	HIVEP zinc finger 3		transcription_factor;Alzheimer_evidence	2	0.0104768455092704	europepmc:0.0805508306835398;expression_atlas:0.02246898373331527	False	False	False	False	False	False	False	True	False	True
USP46	ENSG00000109189.12	ENSG00000109189	MFBA9BA46	M745	cogn_global	0.139	per_module	USP46	ubiquitin specific peptidase 46		enzyme;Alzheimer_evidence	2	0.0014783194187388	europepmc:0.012158615952232422	False	False	False	False	False	True	False	False	False	True
CHASERR	ENSG00000272888.5	ENSG00000272888	AC	M954	cogn_global	0.139	per_module	CHASERR	CHD2 adjacent suppressive regulatory RNA		Alzheimer_evidence	1	0.0014783194187388	europepmc:0.012158615952232422	False	False	False	False	False	False	False	False	False	True
JMJD4	ENSG00000081692.12	ENSG00000081692	PCGBA23	M1088	cogn_global	0.125	per_module	JMJD4	jumonji domain containing 4			0	0.0		False	False	False	False	False	False	False	False	False	False
C16orf96	ENSG00000205832.7	ENSG00000205832	MFBA9BA46	M937	cogn_global	0.117	per_module	C16orf96	chromosome 16 open reading frame 96			0	0.0		False	False	False	False	False	False	False	False	False	False
ARHGEF6	ENSG00000129675.15	ENSG00000129675	AC	M119	cogn_global	0.114	per_module	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6		Alzheimer_evidence	1	0.0083155467304057	europepmc:0.06839221473130737	False	False	False	False	False	False	False	False	False	True
